feature,importance
discharge_disposition_id,0.08395183415709175
diag_1,0.08068115763473599
num_lab_procedures,0.07648195268999265
number_inpatient,0.07599833388673789
diag_2,0.0723271563312152
diag_3,0.07224000626993268
num_medications,0.07060744931758464
time_in_hospital,0.04761730558312791
diabetesMed,0.04697312582368857
number_outpatient,0.04313223749668433
medical_specialty,0.03987419895869602
number_diagnoses,0.03907789258082437
admission_source_id,0.033945062840238203
admission_type_id,0.031690477845485406
num_procedures,0.03157630908921394
change,0.022370368503705024
insulin,0.02133827125465431
number_emergency,0.01816467001754755
gender,0.014298229319350401
race,0.011077216346239592
glipizide,0.010125982212959293
metformin,0.010072692565729633
glyburide,0.009659951139652484
A1Cresult,0.008524674383778307
rosiglitazone,0.0073116542478235905
pioglitazone,0.005785601609020055
repaglinide,0.004217159912039363
glimepiride,0.0038986242581891604
max_glu_serum,0.003790197475551724
glyburide-metformin,0.0017171369164691126
nateglinide,0.000827482353551053
acarbose,0.0005507458909748013
chlorpropamide,6.769646281614028e-05
tolbutamide,2.7144624698906915e-05
acetohexamide,0.0
troglitazone,0.0
miglitol,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
