feature,importance
number_inpatient,0.10924801638186762
diag_1,0.08095059513205573
num_lab_procedures,0.07842976263701346
num_medications,0.07817208537543595
diag_2,0.07633439158803848
number_diagnoses,0.07613408043645645
diag_3,0.07353735410390856
time_in_hospital,0.05773969769523042
number_emergency,0.05239160487687974
num_procedures,0.03841284390770736
medical_specialty,0.03821541611783274
admission_type_id,0.03241928099759319
discharge_disposition_id,0.03131773137810163
insulin,0.027635751765317136
admission_source_id,0.02316998841525189
number_outpatient,0.02258504175601506
race,0.01522674505436626
gender,0.014470666648869366
metformin,0.011722758507083507
diabetesMed,0.011474939252316645
change,0.011380400906849822
A1Cresult,0.009354782789638671
glipizide,0.006803394025351303
pioglitazone,0.0051632369576505655
glyburide,0.004866752970510892
max_glu_serum,0.003907804802991435
glimepiride,0.0038728402860784663
rosiglitazone,0.0037182547302460523
repaglinide,0.00047326261707475036
nateglinide,0.00045339427341273595
glyburide-metformin,0.0003986897594315051
acarbose,1.8433853422543946e-05
chlorpropamide,0.0
tolbutamide,0.0
acetohexamide,0.0
troglitazone,0.0
miglitol,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
