feature,importance
num_lab_procedures,0.08192161347658283
diag_1,0.07865119435331973
diag_2,0.07608355882948736
diag_3,0.07476052377905644
num_medications,0.07424134146822511
time_in_hospital,0.05368101893197696
number_inpatient,0.05184440721664497
number_diagnoses,0.04987857803244184
payer_code,0.043944158904089384
medical_specialty,0.04031731178962991
num_procedures,0.03754694446216436
discharge_disposition_id,0.03160626483988347
admission_type_id,0.0288707451734646
insulin,0.02682210938273901
admission_source_id,0.025367672904265056
race,0.025365144491236377
number_outpatient,0.02385466718391838
number_emergency,0.02366979819523069
A1Cresult,0.017631048173470755
weight,0.016285616005926765
gender,0.015790925636990635
metformin,0.015179939733145655
glipizide,0.012963000329549551
change,0.011719765122551967
glyburide,0.010420319050089116
diabetesMed,0.010378634327757146
pioglitazone,0.009968741482601705
rosiglitazone,0.009251588972532414
glimepiride,0.007774358444067081
max_glu_serum,0.006938626507096206
glyburide-metformin,0.0026046718841094083
repaglinide,0.0020221312588027747
nateglinide,0.001522210570008132
acarbose,0.0009074912309277247
tolazamide,8.581847020085272e-05
chlorpropamide,7.135372839662686e-05
troglitazone,4.016470138113531e-05
glipizide-metformin,1.0720806525174282e-05
tolbutamide,5.820149512683298e-06
age,0.0
acetohexamide,0.0
citoglipton,0.0
miglitol,0.0
examide,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
