feature,importance
num_lab_procedures,0.08623198394534065
diag_1,0.08532368891308355
diag_2,0.08262544055468822
diag_3,0.07953001129130627
num_medications,0.07534203174282679
discharge_disposition_id,0.07443522609863255
time_in_hospital,0.05946907006590524
medical_specialty,0.04413366570064167
number_diagnoses,0.04037401716335934
num_procedures,0.03148128072152674
admission_type_id,0.030220381620151945
payer_code,0.030186138342412464
insulin,0.027648944954540178
admission_source_id,0.02711172390535884
number_inpatient,0.02290880777776278
race,0.02025650774244382
number_outpatient,0.01812997844634949
glipizide,0.017243545653511
gender,0.015851620244448965
A1Cresult,0.015492435956259655
metformin,0.0147386795095954
change,0.014466272940474176
diabetesMed,0.012774757032600994
glyburide,0.011590112108360999
glimepiride,0.010781033382326307
number_emergency,0.010306863760261385
max_glu_serum,0.010065003499575788
weight,0.006359788087609963
pioglitazone,0.006212408149189865
rosiglitazone,0.005702403421233483
repaglinide,0.004670139691307058
nateglinide,0.003137580191892339
glyburide-metformin,0.0027515080795630833
chlorpropamide,0.0013783091469344348
acarbose,0.0006456038332777326
tolazamide,0.0003390903784424919
tolbutamide,8.394594680447258e-05
age,0.0
acetohexamide,0.0
troglitazone,0.0
citoglipton,0.0
examide,0.0
miglitol,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
