feature,importance
diag_1,0.1214756226201734
num_lab_procedures,0.11352038512660197
num_medications,0.08705353465480792
diag_2,0.07727193182644386
medical_specialty,0.07531969369483572
time_in_hospital,0.06983379283361932
diag_3,0.06296550088071445
number_diagnoses,0.05448968225401701
insulin,0.04257458210839485
admission_type_id,0.038771702917654284
admission_source_id,0.037081308918605685
A1Cresult,0.03345734862136061
race,0.030123869006384273
gender,0.027397315181991306
weight,0.023669483062462943
number_inpatient,0.020532185629334253
change,0.020225016193099285
discharge_disposition_id,0.01814697062450262
num_procedures,0.014945861383550904
payer_code,0.014165609739842407
diabetesMed,0.012975531548883153
number_outpatient,0.002209101715488479
number_emergency,0.0017939694572313533
age,0.0
nateglinide,0.0
chlorpropamide,0.0
glimepiride,0.0
acetohexamide,0.0
glipizide,0.0
max_glu_serum,0.0
metformin,0.0
repaglinide,0.0
pioglitazone,0.0
tolbutamide,0.0
glyburide,0.0
rosiglitazone,0.0
troglitazone,0.0
tolazamide,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
glyburide-metformin,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
