feature,importance
num_lab_procedures,0.08227346434191102
diag_1,0.08094327686420823
diag_2,0.07765776597365023
diag_3,0.07626753747208836
num_medications,0.07308872800148128
time_in_hospital,0.053441846785092596
number_diagnoses,0.05045518942815781
number_inpatient,0.0476632270974224
medical_specialty,0.044587115973135555
payer_code,0.0431949982186955
num_procedures,0.0393592623409169
admission_type_id,0.029290280180311587
insulin,0.028830521778663805
number_emergency,0.028303376182946684
admission_source_id,0.02733766160057479
discharge_disposition_id,0.026535177589452643
race,0.024244404590674073
A1Cresult,0.02147798132671455
number_outpatient,0.019423670683300066
metformin,0.016348456843785865
gender,0.015531642749835399
weight,0.013272983936877081
change,0.012094678870495725
glipizide,0.011492192483862853
diabetesMed,0.009777205995945969
glyburide,0.008978893379676856
pioglitazone,0.008702891535570096
max_glu_serum,0.007881966780414322
glimepiride,0.007563905741107002
rosiglitazone,0.0068022022113764765
repaglinide,0.002156975285572895
glyburide-metformin,0.0018641279244945622
nateglinide,0.001717123734559943
acarbose,0.0010797955295541461
chlorpropamide,0.0002115830669723647
glipizide-metformin,6.201318531671457e-05
troglitazone,4.349763776674156e-05
tolazamide,4.23766774168476e-05
age,0.0
acetohexamide,0.0
tolbutamide,0.0
citoglipton,0.0
miglitol,0.0
examide,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
