feature,importance
num_lab_procedures,0.08099483766393208
diag_1,0.08015563368837533
diag_2,0.07672365518611658
diag_3,0.07457327239593341
num_medications,0.07318105787251619
discharge_disposition_id,0.05981393022753356
time_in_hospital,0.054013397757584986
number_diagnoses,0.042369543457644925
number_inpatient,0.040621840497425836
medical_specialty,0.03975473301797026
num_procedures,0.035876928769861205
admission_source_id,0.03421236562316065
admission_type_id,0.03211757320031406
number_outpatient,0.03155689053785175
payer_code,0.03136601206306976
insulin,0.022253915639583375
race,0.021067564778980245
weight,0.01741490678141976
A1Cresult,0.015975425987643278
gender,0.01511997840433513
number_emergency,0.013964669155496792
metformin,0.013688652309812388
diabetesMed,0.013372823475862954
glipizide,0.013370692120473872
glyburide,0.013095454908801712
change,0.010982041407756705
max_glu_serum,0.009220074643099332
pioglitazone,0.00847061400070313
rosiglitazone,0.008013386273080245
glimepiride,0.007343670095915002
repaglinide,0.003444244156262462
nateglinide,0.00212485728899163
glyburide-metformin,0.0017132006247759014
acarbose,0.0008500005544657225
chlorpropamide,0.0005049520116870276
tolazamide,0.0002722501843354322
miglitol,0.00023378928915979063
tolbutamide,6.740642233731144e-05
acetohexamide,4.3533954332498034e-05
glipizide-metformin,3.766705736218254e-05
metformin-rosiglitazone,2.2556514035505407e-05
age,0.0
troglitazone,0.0
examide,0.0
citoglipton,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
