feature,importance
num_lab_procedures,0.08880967671306882
diag_1,0.08411373217915069
diag_2,0.07829877312035836
diag_3,0.07393698031526577
num_medications,0.06574377460082154
number_inpatient,0.05504397827351532
number_diagnoses,0.05058528188170402
time_in_hospital,0.05037884430291755
number_emergency,0.047209583870228986
payer_code,0.04489851828593342
medical_specialty,0.03984824002463973
num_procedures,0.03780533347306217
admission_type_id,0.03414267411655996
insulin,0.032808114465372844
race,0.02664553300880303
admission_source_id,0.02662284231786776
weight,0.024257734361217323
discharge_disposition_id,0.021378379931843706
A1Cresult,0.021343414800926382
number_outpatient,0.01777235971113512
gender,0.01664731029380122
change,0.013399969057296174
metformin,0.012110168638104005
diabetesMed,0.009504766073667112
rosiglitazone,0.00579829963475325
glipizide,0.005576665876102914
max_glu_serum,0.005265393967410449
glimepiride,0.0035245514859800074
glyburide,0.0026740092515325532
pioglitazone,0.0024901057665657066
repaglinide,0.0013074186034081389
nateglinide,5.757159698593473e-05
age,0.0
tolbutamide,0.0
chlorpropamide,0.0
acetohexamide,0.0
troglitazone,0.0
tolazamide,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
glyburide-metformin,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
