feature,importance
num_lab_procedures,0.13803878008103632
diag_1,0.09831657950084528
diag_2,0.09090201531546793
diag_3,0.08393843956346046
num_medications,0.08199368843750206
time_in_hospital,0.06985449906308917
medical_specialty,0.06728794914561069
number_diagnoses,0.06368684480618442
insulin,0.04322569135315864
gender,0.0366412190865468
number_inpatient,0.03573649477873654
admission_type_id,0.03043231537030611
race,0.029963808502307322
admission_source_id,0.02316292916783674
number_emergency,0.019068470650002153
num_procedures,0.016687049133110407
change,0.014950872022877149
number_outpatient,0.014243689499175972
diabetesMed,0.011655204868850789
A1Cresult,0.011277827682478727
discharge_disposition_id,0.009697901736498368
metformin,0.008838382535996359
max_glu_serum,0.00039934769892160596
nateglinide,0.0
acetohexamide,0.0
glipizide,0.0
chlorpropamide,0.0
glimepiride,0.0
repaglinide,0.0
pioglitazone,0.0
tolbutamide,0.0
glyburide,0.0
rosiglitazone,0.0
troglitazone,0.0
tolazamide,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
glyburide-metformin,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
