feature,importance
number_inpatient,0.10572436686468938
num_lab_procedures,0.09790786919354667
number_emergency,0.08902543133595088
diag_1,0.08825173098508372
diag_2,0.08647300428844619
diag_3,0.07856439326108897
num_medications,0.06512261182818928
num_procedures,0.05005124042044406
number_diagnoses,0.047662206698061316
admission_type_id,0.04455622931173178
time_in_hospital,0.04276839763211231
insulin,0.028604890995981326
admission_source_id,0.026801546394362614
medical_specialty,0.02679276974443114
discharge_disposition_id,0.02532844000779832
gender,0.01782314107183116
number_outpatient,0.016274535975578222
race,0.01609927978692181
change,0.011197947147876064
diabetesMed,0.00921558005089816
metformin,0.009021330618290977
A1Cresult,0.005806152362035325
glipizide,0.0028616392289085605
rosiglitazone,0.002662567152097699
glyburide,0.0017489065472999848
max_glu_serum,0.001546285129958286
pioglitazone,0.0011769836005964692
glimepiride,0.0009305223657893879
repaglinide,0.0
tolbutamide,0.0
nateglinide,0.0
chlorpropamide,0.0
acetohexamide,0.0
troglitazone,0.0
tolazamide,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
glyburide-metformin,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
