feature,importance
number_inpatient,0.0996102381721007
diag_1,0.07578621544728809
num_medications,0.07559314118170414
diag_3,0.07180431616889686
diag_2,0.07076331733396639
num_lab_procedures,0.06828458213078155
number_diagnoses,0.06324317441420772
number_emergency,0.05263075034911255
time_in_hospital,0.049606977681581614
discharge_disposition_id,0.04942419267525964
number_outpatient,0.04219716265448189
medical_specialty,0.03935943958514924
admission_source_id,0.036700770027556714
num_procedures,0.0365342157842281
admission_type_id,0.03577492472661441
insulin,0.02238029003133095
diabetesMed,0.014540632427399695
race,0.012818411528657574
metformin,0.011889645210334518
gender,0.011301860476872469
glipizide,0.010032451334396697
change,0.009810689062453077
A1Cresult,0.009595242816240338
glyburide,0.007164866964694173
pioglitazone,0.006001835128096664
rosiglitazone,0.005470754920065416
max_glu_serum,0.004538899471620042
glimepiride,0.0030168665854674744
repaglinide,0.0020721677324786725
glyburide-metformin,0.000882513676153883
nateglinide,0.0008138783099534821
acarbose,0.0003366637387402749
chlorpropamide,1.8912252115056565e-05
tolbutamide,0.0
acetohexamide,0.0
troglitazone,0.0
miglitol,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
