feature,importance
discharge_disposition_id,0.10910774635099119
num_lab_procedures,0.10198619252512545
diag_1,0.09782605343016515
diag_2,0.09225567142074645
diag_3,0.08325851951140088
num_medications,0.07791428286603558
time_in_hospital,0.05862883433499404
medical_specialty,0.03937922287522786
admission_source_id,0.037699845497682447
number_diagnoses,0.036872778473636104
number_inpatient,0.031072513465952533
admission_type_id,0.030784264361724146
num_procedures,0.02763072027115809
insulin,0.02469674344630042
number_outpatient,0.02207361681598929
change,0.018664035378465376
glipizide,0.015573130594684776
diabetesMed,0.015281644227286378
gender,0.014403586295198098
metformin,0.011933260717100342
race,0.011733996928067427
glimepiride,0.008846087524143769
A1Cresult,0.006077734614978325
number_emergency,0.005872168548229096
glyburide,0.005083845258861956
max_glu_serum,0.004756094736090917
pioglitazone,0.0034935803306137174
repaglinide,0.0033783388666073395
nateglinide,0.0017054406588062911
rosiglitazone,0.0016054579783855605
glyburide-metformin,0.00040459169535090017
chlorpropamide,0.0
acetohexamide,0.0
tolbutamide,0.0
troglitazone,0.0
miglitol,0.0
acarbose,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
