feature,importance
number_inpatient,0.12757471316088395
num_lab_procedures,0.08002338946810536
number_diagnoses,0.07603630959037122
diag_1,0.07544776010598976
num_medications,0.07485211617134825
diag_3,0.07219269419284839
diag_2,0.06650042684706026
time_in_hospital,0.05545308153383118
discharge_disposition_id,0.050390759824038255
number_emergency,0.045591065323564516
number_outpatient,0.036463357724347556
num_procedures,0.03185546047104011
medical_specialty,0.031445378948547875
admission_type_id,0.03126631674329977
admission_source_id,0.02185679091200987
insulin,0.02154306890805665
race,0.01683942829469736
gender,0.015296608224331966
metformin,0.01140785822177884
change,0.009746603639652133
diabetesMed,0.009457009301618254
glipizide,0.00669793077249249
rosiglitazone,0.0062317781418661485
pioglitazone,0.005573765267138555
A1Cresult,0.005573028144326828
glyburide,0.005407763698381209
max_glu_serum,0.0035193225164499436
glimepiride,0.003369192113280808
repaglinide,0.0007613492469740002
nateglinide,0.000734494236986979
glyburide-metformin,0.0006745106089101015
acarbose,0.0002166676457714869
chlorpropamide,0.0
tolbutamide,0.0
acetohexamide,0.0
troglitazone,0.0
miglitol,0.0
citoglipton,0.0
examide,0.0
tolazamide,0.0
glipizide-metformin,0.0
metformin-rosiglitazone,0.0
glimepiride-pioglitazone,0.0
metformin-pioglitazone,0.0
age_numeric,0.0
